Albanian (Standardized),English,Type,Confidence,Usefulness,Date Learned
Lokal,Bar/coffee bar,Noun (M),Mastered,5,2/17/2026
Vrap,Run (Noun),Noun (M),Mastered,5,2/17/2026
Nëntëmbëdhjetë,19,Noun (M),Mastered,5,2/17/2026
Dhjetë mijë,"10,000",Noun (M),Mastered,5,2/17/2026
Një milion,"1,000,000",Noun (M),Mastered,5,2/17/2026
Dy mijë e njëzet e gjashtë,2026,Noun (M),Mastered,5,2/17/2026
Trembëdhjetë,13,Noun (M),Mastered,5,2/17/2026
Spec,Pepper,Noun (M),Mastered,5,2/17/2026
Deti,Sea,Noun (M),Mastered,3,2/17/2026
Flokët,The hair,Noun (M),Mastered,3,2/17/2026
prindërit,the parents,Noun (M),Almost There,9,2/17/2026
Emër,Name,Noun (M),Almost There,9,2/17/2026
Udhëtar/i,Traveler,Noun (M),Almost There,8,2/19/2026
Mik,Friend / Guest,Noun (M),Almost There,8,2/17/2026
Stilolaps,Pen,Noun (M),Almost There,8,2/17/2026
Shofer,Driver,Noun (M),Almost There,8,2/17/2026
Zotëri,Mr. / Sir,Noun (M),Almost There,8,2/17/2026
Sy,The eye,Noun (M),Almost There,7,2/17/2026
Perëndim,West / Sunset,Noun (M),Almost There,7,2/17/2026
Njeri,Human,Noun (M),Almost There,7,2/17/2026
Fermer,Farmer,Noun (M),Almost There,7,2/17/2026
Rregull,Order,Noun (M),Almost There,6,2/23/2026
Universitet,University,Noun (M),Almost There,6,2/17/2026
Lloj,Kind / Type,Noun (M),Almost There,6,2/17/2026
Mjaltë,Honey,Noun (M),Almost There,6,2/17/2026
Fat,Luck,Noun (M),Almost There,6,2/17/2026
Arkitekt,Architect,Noun (M),Almost There,6,2/17/2026
Elektricist,Electrician,Noun (M),Almost There,6,2/17/2026
Mekanik,Mechanic,Noun (M),Almost There,6,2/17/2026
Xhaxha,Uncle (Father's side),Noun (M),Almost There,5,2/17/2026
Zog,Bird,Noun (M),Almost There,5,2/17/2026
Ekonomist,Economist,Noun (M),Almost There,5,2/17/2026
Frigorifer,Fridge,Noun (M),Almost There,4,2/17/2026
Bufi,Owl,Noun (M),Almost There,3,2/17/2026
Tingull,Sound,Noun (M),Almost There,3,2/17/2026
Llogaritar,Accountant,Noun (M),Almost There,3,2/17/2026
qiell,sky,Noun (M),New,4,3/13/2026
cep,corner,Noun (M),New,9,3/13/2026
Byzylyk,Bracelet,Noun (M),New,4,3/13/2026
Kapuç,Hood,Noun (M),New,5,3/13/2026
Agronom,Agriculturist,Noun (M),New,4,3/13/2026
Konvikt / Rezidencë studenti,Dorm,Noun (M),New,8,3/13/2026
Bën vapë,It's hot out,Phrase,New,10,3/4/2026
Fryn erë,The wind is blowing,Phrase,New,10,3/4/2026
"Me të parë, me të bërë",We'll cross that bridge when we get to it,Phrase,New,10,2/17/2026
A mund na tregosh rreth tij?,Can you tell us about it?,Phrase,New,10,2/17/2026
Kam ethe,I have a fever,Phrase,New,10,2/17/2026
Mezi pres,I can't wait (excited),Phrase,New,10,2/17/2026
javën e kaluar,last week,Phrase,New,9,3/3/2026
Çfarë zanati ke?,What is your profession?,Phrase,New,9,2/17/2026
Me se merresh?,What do you do?,Phrase,New,9,2/17/2026
Dua një çikë,I want a little bit,Phrase,New,9,2/17/2026
E qartë?,Clear?,Phrase,New,9,2/17/2026
Ku ke lindur?,Where were you born?,Phrase,New,8,3/6/2026
Seriozisht a ke?,Are you serious??,Phrase,New,8,3/4/2026
Çfarë të pëlqeu më tepër,What did you like the most,Phrase,New,8,3/4/2026
Vura re,I noticed,Phrase,New,8,3/4/2026
Vë re,I notice,Phrase,New,8,3/4/2026
kohët e fundit,recently,Phrase,New,8,3/3/2026
të dy(ja),both,Phrase,New,8,2/18/2026
Kam dhimbje,I have pain,Phrase,New,8,2/17/2026
Gëzuar ditëlindjen,Happy birthday,Phrase,New,8,2/17/2026
A mund të flasësh pak për familjen tënde pritëse?,Can you tell me a little bit about your host family?,Phrase,New,8,2/17/2026
Njerëzit janë të këndshëm,People are nice,Phrase,New,8,2/17/2026
Kismet,Fate / We will see,Phrase,New,8,2/17/2026
Deri sa,Until (Action),Phrase,New,7,3/4/2026
para dy vitesh,two years ago,Phrase,New,7,3/3/2026
në të kaluarën,in the past,Phrase,New,7,3/3/2026
shumë kohë më parë,long time ago,Phrase,New,7,3/3/2026
Një herë,Once,Phrase,New,7,2/19/2026
Të rroni vetë,May you live,Phrase,New,7,2/17/2026
mbaje vath në vesh,Don't forget this,Phrase,New,7,2/17/2026
Gëzuar Krishtlindjet,Merry Christmas,Phrase,New,7,2/17/2026
kohën e lirë,free time,Phrase,New,7,2/17/2026
vëllai është më i madh se ajo,her brother is older than her,Phrase,New,6,2/17/2026
Të rroni e ta kujtoni,May you live and remember them,Phrase,New,5,2/17/2026
Më dhemb...,It is hurting my...,Phrase,New,5,2/17/2026
Kam kollë,I have a cough,Phrase,New,5,2/17/2026
Mos bëj naze,Don't be spoiled,Phrase,New,5,2/17/2026
Gjithçka është në rregull,Everything is in order,Phrase,New,5,2/17/2026
Ngushëllime,Condolences,Phrase,New,5,2/17/2026
Jam me grip,I have the flu,Phrase,New,5,2/17/2026
Koka-Kolla po aq e shtrenjtë sa...,Coke as expensive as...,Phrase,New,5,2/17/2026
Punë të mbarë,I wish you a good day's work,Phrase,Needs Improvement,10,2/19/2026
u bëfsh një qind vjeç,May you live to be 100,Phrase,Needs Improvement,10,2/18/2026
A mund të flasësh pak për veten tënde?,Can you talk a little about yourself?,Phrase,Needs Improvement,10,2/17/2026
A mund të praktikoj atë që mësova sot?,Can I practice what I learned today?,Phrase,Needs Improvement,10,2/17/2026
Dua të praktikoj shqip,I want to practice Albanian,Phrase,Needs Improvement,10,2/17/2026
Si është puna?,What's up? (How is work?),Phrase,Needs Improvement,9,2/20/2026
Bëj të pamundurën,I'll do the impossible,Phrase,Needs Improvement,9,2/17/2026
Çfarë thua?,What are you saying?,Phrase,Needs Improvement,9,2/17/2026
Mendoj se po,I think so,Phrase,Needs Improvement,9,2/17/2026
A mund të bëj një pyetje?,Can I ask a question?,Phrase,Needs Improvement,9,2/17/2026
Mbaruam drekë?,Are you finished with lunch?,Phrase,Needs Improvement,9,2/17/2026
Më rrjedhin hundët,I have a runny nose,Phrase,Needs Improvement,9,2/17/2026
A mund të flasësh...?,Can you tell me...?,Phrase,Needs Improvement,9,2/17/2026
A ka...?,Is there...?,Phrase,Needs Improvement,9,2/17/2026
Keni pyetje?,Do you have any questions?,Phrase,Needs Improvement,9,2/17/2026
Nga je ti?,Where are you from?,Phrase,Needs Improvement,9,2/17/2026
Kam nevojë për ndihmë,I need help,Phrase,Needs Improvement,9,2/17/2026
Kam nevojë për ujë,I need water,Phrase,Needs Improvement,9,2/17/2026
Ujë me gaz,Water with gas,Phrase,Needs Improvement,9,2/17/2026
Çfarë pune bën?,What is your job?,Phrase,Needs Improvement,9,2/17/2026
A thashë saktë?,Did I say it correctly?,Phrase,Needs Improvement,9,2/17/2026
Lekë të reja apo të vjetra?,Old or new lekë?,Phrase,Needs Improvement,9,2/17/2026
Si ndihesh?,How do you feel?,Phrase,Needs Improvement,9,2/17/2026
Ku është kuzhina?,Where is the kitchen?,Phrase,Needs Improvement,9,2/17/2026
Si shkoi?,How did it go?,Phrase,Needs Improvement,9,2/17/2026
Dua një batanije,I want a blanket,Phrase,Needs Improvement,9,2/17/2026
Si u ngryse?,How are you (at sunset)?,Phrase,Needs Improvement,9,2/17/2026
Pse u vonove?,Why are you late?,Phrase,Needs Improvement,9,2/17/2026
Si quhet shkolla?,What is your school called?,Phrase,Needs Improvement,9,2/17/2026
Çfarë problemi ke?,What is wrong?,Phrase,Needs Improvement,9,2/17/2026
Po familja jote në Amerikë?,What about your family in America?,Phrase,Needs Improvement,8,2/17/2026
Ke të drejtë,You are right,Phrase,Needs Improvement,8,2/17/2026
Çfarë ka afër shkollës?,What is near the school?,Phrase,Needs Improvement,8,2/17/2026
Ndihmë,Help,Phrase,Needs Improvement,8,2/17/2026
Ndihem i lumtur,I feel happy,Phrase,Needs Improvement,8,2/17/2026
A mund të përshkruash qytetin tënd?,Can you describe your city?,Phrase,Needs Improvement,7,2/17/2026
Si është rutina jote?,What is your routine?,Phrase,Needs Improvement,7,2/17/2026
Gëzohem që u njohëm,Nice to meet you,Phrase,Needs Improvement,7,2/17/2026
Mirë se ju gjeta,Good to have found you,Phrase,Needs Improvement,7,2/17/2026
Bëj muhabet,To chat,Phrase,Needs Improvement,7,2/17/2026
A mund të me tregosh si mund të shkoj tek shkolla?,Can you tell me how to go to school?,Phrase,Needs Improvement,6,2/17/2026
Diçka,Something,Phrase,Needs Improvement,5,2/17/2026
Ujë pa gaz,Water without gas,Phrase,Needs Improvement,5,2/17/2026
Jam dakord,I agree,Phrase,Needs Improvement,5,2/17/2026
Gjithçka,Everything,Phrase,Needs Improvement,5,2/17/2026
Është tepër vonë,It's too late,Phrase,Needs Improvement,5,2/17/2026
Fol avash...,Speak slowly,Phrase,Needs Improvement,5,2/17/2026
Punë e mirë,Good job,Phrase,Needs Improvement,5,2/17/2026
Është pushim,It's a day off,Phrase,Needs Improvement,5,2/17/2026
Po patjetër,Yes of course,Phrase,Needs Improvement,5,2/17/2026
Ka një problem,There is a problem,Phrase,Needs Improvement,5,2/17/2026
Sot është nxehtë,It is hot today,Phrase,Needs Improvement,5,2/17/2026
Pas dy orësh,After two hours,Phrase,Needs Improvement,5,2/17/2026
Mbiemri im është,My last name is,Phrase,Needs Improvement,5,2/17/2026
Pas tri ditësh,After three days,Phrase,Needs Improvement,5,2/17/2026
Më vjen keq,Dang that sucks! / I'm sorry (when refusing or doing something that can hurt or dissapoint someone),Phrase,Mastered,10,2/17/2026
Bie shi,Rain falls,Phrase,Mastered,10,2/17/2026
Dua të fle gjumë,I want to sleep,Phrase,Mastered,10,2/17/2026
Nuk e di,I don't know,Phrase,Mastered,10,2/17/2026
Çfarë?,What?,Phrase,Mastered,10,2/17/2026
Kush?,Who?,Phrase,Mastered,10,2/17/2026
Kur?,When?,Phrase,Mastered,10,2/17/2026
Pse?,Why?,Phrase,Mastered,10,2/17/2026
Si?,How?,Phrase,Mastered,10,2/17/2026
Sa është ora?,What time is it?,Phrase,Mastered,10,2/17/2026
Dhe / E / Edhe,And,Phrase,Mastered,10,2/17/2026
Sepse,Because,Phrase,Mastered,10,2/17/2026
Sa kushton?,How much does it cost?,Phrase,Mastered,10,2/17/2026
Si thuhet...,How do you say...,Phrase,Mastered,10,2/17/2026
Nuk kuptoj,I don't understand,Phrase,Mastered,10,2/17/2026
Ku?,Where?,Phrase,Mastered,10,2/17/2026
Kam ftohtë,I am cold,Phrase,Mastered,10,2/17/2026
Kam nxehtë,I am hot,Phrase,Mastered,10,2/17/2026
Paç fat,Good luck,Phrase,Mastered,9,2/19/2026
të gjithë/a,all / everyone,Phrase,Mastered,9,2/18/2026
Sa?,How much?,Phrase,Mastered,9,2/17/2026
Cili / Cila,Which?,Phrase,Mastered,9,2/17/2026
Obobo,Darn!,Phrase,Mastered,9,2/17/2026
Si u gdhive?,How did you wake up?,Phrase,Mastered,9,2/17/2026
Është bukë?,Is it bread?,Phrase,Mastered,9,2/17/2026
A mund të ndihmoj?,Can I help?,Phrase,Mastered,9,2/17/2026
Si po ia kaloni?,How are you? (Formal),Phrase,Mastered,9,2/17/2026
No ga dia,No way! (Slang),Phrase,Mastered,9,2/17/2026
Më falni,Excuse me / I'm sorry,Phrase,Mastered,9,2/17/2026
Shihemi nesër,See you tomorrow,Phrase,Mastered,9,2/17/2026
Shumë mirë,Very good,Phrase,Mastered,9,2/17/2026
Rrofsh,Thanks / Long live,Phrase,Mastered,9,2/17/2026
Sa bukur,How beautiful,Phrase,Mastered,9,2/17/2026
Në fakt,"Actually, in fact",Phrase,Mastered,8,2/19/2026
Ju lumshin duart,May your hands be blessed,Phrase,Mastered,8,2/17/2026
"Mirë, jo keq","Good, not bad",Phrase,Mastered,8,2/17/2026
Shëndet paç,Response to shëndet,Phrase,Mastered,7,2/17/2026
Pasnesër,Day after tomorrow,Phrase,Mastered,7,2/17/2026
E një çerek,Quarter past,Phrase,Mastered,6,2/17/2026
Të mërkurën,On Wednesday,Phrase,Mastered,6,2/17/2026
Të dielën,On Sunday,Phrase,Mastered,6,2/17/2026
Të shtunën,On Saturday,Phrase,Mastered,6,2/17/2026
Përshëndetje,Hello,Phrase,Mastered,5,2/17/2026
Mirëmbrëma,Good evening,Phrase,Mastered,5,2/17/2026
Natën e mirë,Good night,Phrase,Mastered,5,2/17/2026
Mirupafshim,Goodbye,Phrase,Mastered,5,2/17/2026
Faleminderit,Thank you,Phrase,Mastered,5,2/17/2026
Jam nga...,I am from...,Phrase,Mastered,5,2/17/2026
Të bëftë mirë,Bon appétit,Phrase,Mastered,5,2/17/2026
Ose / Apo,Or,Phrase,Mastered,5,2/17/2026
Në rregull,Okay / Alright,Phrase,Mastered,5,2/17/2026
Një kafe të lutem,One coffee please,Phrase,Mastered,5,2/17/2026
Të hënën,On Monday,Phrase,Mastered,5,2/17/2026
Të premten,On Friday,Phrase,Mastered,5,2/17/2026
Për shembull,For example,Phrase,Mastered,5,2/17/2026
Mirëmëngjes,Good morning,Phrase,Mastered,5,2/17/2026
Mirëdita,Good day,Phrase,Mastered,5,2/17/2026
Kalofsh mirë,Have a good one,Phrase,Mastered,5,2/17/2026
Faleminderit...,Thank you for lunch,Phrase,Mastered,5,2/17/2026
Të lutem,Please,Phrase,Mastered,5,2/17/2026
S’ka problem,No problem,Phrase,Mastered,5,2/17/2026
S’ka gjë,No problem,Phrase,Mastered,5,2/17/2026
E gjysëm,Half past,Phrase,Mastered,5,2/17/2026
Në këmbë,By foot,Phrase,Mastered,5,2/17/2026
Pa një çerek,Quarter to,Phrase,Mastered,5,2/17/2026
Le,Let's,Phrase,Almost There,10,2/17/2026
Kam nevojë të praktikoj,I need to practice,Phrase,Almost There,10,2/17/2026
Dua të vij por jam i lodhur,I want to come but I am tired,Phrase,Almost There,10,2/17/2026
Unë flas pak shqip,I speak a little Albanian,Phrase,Almost There,10,2/17/2026
Yt / Jote,Your (Singular),Phrase,Almost There,10,2/17/2026
Juaj,Your (Plural),Phrase,Almost There,10,2/17/2026
Dreka është shumë e mirë,Lunch is very good,Phrase,Almost There,10,2/17/2026
Po kënaqem,I am having fun,Phrase,Almost There,10,2/17/2026
Ti je shumë i mirë,You are very good,Phrase,Almost There,10,2/17/2026
Kjo është dhoma ime,This is my room,Phrase,Almost There,10,2/17/2026
Me ty,With you,Phrase,Almost There,9,2/17/2026
Të shkuara,Get better! (to the sick),Phrase,Almost There,9,2/17/2026
Unë dhe ti,Me and you,Phrase,Almost There,9,2/17/2026
Nëse ose nëqoftëse,If,Phrase,Almost There,9,2/17/2026
U krye,It got done,Phrase,Almost There,9,2/17/2026
A ka bukë?,Is there bread?,Phrase,Almost There,9,2/17/2026
Kur fillon mësimi?,When does the lesson start?,Phrase,Almost There,9,2/17/2026
Por,But,Phrase,Almost There,9,2/17/2026
Kafe me qumësht,Coffee with milk,Phrase,Almost There,9,2/17/2026
Pse jo?,Why not?,Phrase,Almost There,9,2/17/2026
Çfarë është kjo?,What is this?,Phrase,Almost There,9,2/17/2026
A jeni gati?,Are you ready?,Phrase,Almost There,9,2/17/2026
Ku është libri yt?,Where is your book?,Phrase,Almost There,9,2/17/2026
Tungjetjeta,Long live!,Phrase,Almost There,9,2/17/2026
Dua prapë,I want some more,Phrase,Almost There,9,2/17/2026
Nuk e di ku është,I don't know where it is,Phrase,Almost There,9,2/17/2026
A mund ta përsërisësh?,Can you repeat?,Phrase,Almost There,9,2/17/2026
A ke ujë?,Do you have water?,Phrase,Almost There,9,2/17/2026
Kush është ai?,Who is he?,Phrase,Almost There,9,2/17/2026
Dua pak ujë,I want some water,Phrase,Almost There,9,2/17/2026
Çfarë lloj byreku keni?,What kind of byrek do you have?,Phrase,Almost There,9,2/17/2026
Kur është dreka?,When is lunch?,Phrase,Almost There,9,2/17/2026
Çfarë më rekomandon?,What do you recommend?,Phrase,Almost There,9,2/17/2026
Pse? Sepse jam i lumtur,Why? Because I am happy,Phrase,Almost There,9,2/17/2026
Mund të regjistroj bisedën?,Can I record you?,Phrase,Almost There,9,2/17/2026
Shihemi më vonë,See you later,Phrase,Almost There,9,2/17/2026
Vetëm pak të lutem,Just a little please,Phrase,Almost There,9,2/17/2026
Unë ha diçka,I eat something,Phrase,Almost There,9,2/17/2026
Edhe një gjë të fundit,One last thing,Phrase,Almost There,8,2/20/2026
Pak a shumë,More or less,Phrase,Almost There,8,2/19/2026
Zyra ndodhet në rrugën kryesore,The office is on the main street,Phrase,Almost There,8,2/17/2026
Dje isha në shtëpi,Yesterday I was home,Phrase,Almost There,8,2/17/2026
pas një muaji,After one month,Phrase,Almost There,8,2/17/2026
pas një viti,After one year,Phrase,Almost There,8,2/17/2026
Ndihem mirë,I feel good,Phrase,Almost There,8,2/17/2026
Ky / Kjo,This (M/F),Phrase,Almost There,8,2/17/2026
Më pëlqen kjo këngë,I like this song,Phrase,Almost There,8,2/17/2026
Me furgon,By minibus / Van,Phrase,Almost There,8,2/17/2026
Unë nuk pi kurrë raki,I never drink raki,Phrase,Almost There,8,2/17/2026
Sot kam shkollë,Today I have school,Phrase,Almost There,8,2/17/2026
Çka,So-so,Phrase,Almost There,7,2/17/2026
Të martën,On Tuesday,Phrase,Almost There,7,2/17/2026
Të enjten,On Thursday,Phrase,Almost There,7,2/17/2026
Pas një jave,After 1 week,Phrase,Almost There,5,2/17/2026
Si është koha?,What is the weather?,Phrase,Almost There,5,2/17/2026
Gëzuar,Cheers,Phrase,Almost There,5,2/17/2026
Emri im është,My name is,Phrase,Almost There,5,2/17/2026
çanta ime është jeshile e hapur,my bag is light green,Phrase,New,5,3/13/2026
çanta ime është jeshile e errët,my bag is dark green,Phrase,New,5,3/13/2026
ndodhet në cep të rrugës,located on the corner of the street,Phrase,New,9,3/13/2026
ndodhet anës shkollës,located on the side of the school,Phrase,New,9,3/13/2026
Çfarë ushqimi do të ketë atje?,What food will there be there?,Phrase,New,9,3/13/2026
A do të ngopem pastaj?,Will I be full afterwards?,Phrase,New,9,3/13/2026
A duhet të vishem mirë për festën?,Should I dress well for the party?,Phrase,New,7,3/13/2026
Kush po shkon?,Who is going?,Phrase,New,8,3/13/2026
Ku po shkojmë?,Where are we going?,Phrase,New,9,3/13/2026
Për kë?,For whom?,Phrase,New,8,3/13/2026
A dua të them...,I want to say... / Would I want to say...,Phrase,New,10,3/13/2026
Nuk e kam provuar kurrë,I have never tried it,Phrase,New,8,3/13/2026
Shikoj perëndimin,Watch the sunset,Phrase,New,7,3/13/2026
Prej,Since,Preposition,New,8,3/4/2026
gjatë,during,Preposition,New,8,2/18/2026
Përmes,Through (Physical),Preposition,New,7,3/4/2026
kundër,against,Preposition,New,7,2/18/2026
nëpër,through / across / throughout,Preposition,New,7,2/18/2026
në,in / at / on,Preposition,Needs Improvement,10,2/18/2026
poshtë / nën,under,Preposition,Needs Improvement,9,2/18/2026
mbrapa / mbas / pas,behind,Preposition,Needs Improvement,9,2/18/2026
pranë / afër,near / next to,Preposition,Needs Improvement,9,2/18/2026
se,than,Preposition,Needs Improvement,9,2/17/2026
kurse,whereas,Preposition,Needs Improvement,6,2/17/2026
midis,in between,Preposition,Mastered,9,2/18/2026
Pa,Without,Preposition,Mastered,8,2/17/2026
Për,For / About,Preposition,Mastered,5,2/17/2026
për,about / for,Preposition,Almost There,10,2/18/2026
mbi / sipër,on top / above,Preposition,Almost There,9,2/18/2026
përbollë,across / in front,Preposition,Almost There,9,2/18/2026
përpara,in front,Preposition,Almost There,9,2/18/2026
Me,With,Preposition,Almost There,9,2/17/2026
anës,side / along,Preposition,Almost There,7,2/18/2026
Bëj pazar,To go shopping,Verb,Needs Improvement,10,2/17/2026
Nxjerr,To take out,Verb,Needs Improvement,10,2/17/2026
provoj,to try (to test out food),Verb,Almost There,10,2/17/2026
Vë ,To put (present tense),Verb,Needs Improvement,10,2/17/2026
Ndaj,To share,Verb,New,9,3/6/2026
Njohto,To know someone,Verb,Needs Improvement,9,3/4/2026
Vura,To put / placed (simple past tense),Verb,New,9,3/4/2026
ushqej,to feed,Verb,New,9,3/3/2026
pastroj,to clean,Verb,New,9,3/3/2026
Visetoj,To visit,Verb,Mastered,8,3/6/2026
shtrihem,to lay,Verb,Needs Improvement,8,3/3/2026
ndjej,to feel,Verb,Needs Improvement,8,3/3/2026
përgjigjem,to answer,Verb,Almost There,8,3/3/2026
erdha,i came,Verb,New,8,3/3/2026
ndenje,you stayed,Verb,Needs Improvement,8,3/3/2026
Përziejmë bashkë,Mix together,Verb,New,8,2/17/2026
tregoj,to tell,Verb,Almost There,8,2/17/2026
paguaj,to pay,Verb,New,7,3/7/2026
Ngjit,To climb,Verb,New,7,3/6/2026
Zemëroj,To anger,Verb,New,7,3/4/2026
fitoj,to win / to earn,Verb,Needs Improvement,7,3/3/2026
lëndoj,to hurt,Verb,New,7,3/3/2026
humb,to lose,Verb,New,7,3/3/2026
Uroj,To congratulate,Verb,New,7,2/19/2026
Vonohem,To be late / delayed,Verb,New,7,2/17/2026
Pjek,To bake,Verb,New,7,2/17/2026
Lë,To leave / To let,Verb,New,7,2/17/2026
Këshilloj,To advise,Verb,New,7,2/17/2026
dukhem,To appear,Verb,New,7,2/17/2026
Hyr në internet,Search the internet,Verb,New,7,2/17/2026
Bashkohem,I join,Verb,New,5,2/17/2026
Ngjitem lart,Go upstairs,Verb,New,4,2/17/2026
Qëndroj,To stay / To stand,Verb,Needs Improvement,10,2/17/2026
Rri,To stay / sit,Verb,Needs Improvement,10,2/17/2026
Marr,To take / grab,Verb,Needs Improvement,10,2/17/2026
Dal,To go out,Verb,Needs Improvement,10,2/17/2026
Them,To say,Verb,Needs Improvement,10,2/17/2026
Bëj foto,To take a photo,Verb,Needs Improvement,10,2/17/2026
Jap,To give,Verb,Needs Improvement,9,2/19/2026
Dëshiroj,To desire / wish,Verb,Needs Improvement,9,2/17/2026
Bëj xhiro,Go for a stroll,Verb,Needs Improvement,9,2/17/2026
Bëj shaka,Just kidding,Verb,Needs Improvement,9,2/17/2026
Ftoj,To invite,Verb,Needs Improvement,8,2/20/2026
Kërkoj,To require / To ask,Verb,Needs Improvement,8,2/20/2026
varet,it depends,Verb,Needs Improvement,8,2/18/2026
Pyes,To ask,Verb,Needs Improvement,8,2/17/2026
ndihem,To feel,Verb,Needs Improvement,8,2/17/2026
Mungoj,To be absent,Verb,Needs Improvement,7,2/17/2026
Relaksohem,To relax,Verb,Needs Improvement,7,2/17/2026
Flas,To speak,Verb,Needs Improvement,7,2/17/2026
Shoh,To see,Verb,Needs Improvement,7,2/17/2026
Harroj,To forget,Verb,Needs Improvement,7,2/17/2026
Blej,To buy,Verb,Needs Improvement,7,2/17/2026
Përdor,To use,Verb,Needs Improvement,7,2/17/2026
Dëgjoj,To listen / To hear,Verb,Needs Improvement,7,2/17/2026
Besoj,To believe,Verb,Needs Improvement,7,2/17/2026
Lahem,To wash oneself,Verb,Needs Improvement,7,2/17/2026
Vishem,To get dressed,Verb,Needs Improvement,7,2/17/2026
Rruhem,To shave,Verb,Needs Improvement,7,2/17/2026
Mbyll,To close,Verb,Needs Improvement,7,2/17/2026
Premtoj,To promise,Verb,Needs Improvement,7,2/17/2026
Kujtoj,To remember,Verb,Needs Improvement,7,2/17/2026
Diplomohem,To graduate,Verb,Needs Improvement,7,2/17/2026
Zhdukem,To disappear,Verb,Needs Improvement,7,2/17/2026
Praktikoj,To practice,Verb,Needs Improvement,7,2/17/2026
Përkthej,To translate,Verb,Needs Improvement,7,2/17/2026
Kuptova,I understood,Verb,Needs Improvement,5,2/17/2026
Laj,To wash,Verb,Needs Improvement,5,2/17/2026
Mund,"Can, may, or might",Verb,Mastered,10,2/23/2026
Bëj,To do / To make,Verb,Mastered,10,2/17/2026
Dua,To want,Verb,Mastered,10,2/17/2026
Bëj dush,To take a shower,Verb,Mastered,10,2/17/2026
Kuptoj,To understand,Verb,Mastered,10,2/17/2026
Shkoj,To go,Verb,Mastered,10,2/17/2026
jetoj,to live,Verb,Mastered,9,2/18/2026
Mbaroj,To finish,Verb,Mastered,8,2/17/2026
Banoj,To live / To inhabit,Verb,Mastered,7,2/17/2026
Ulem,To sit,Verb,Mastered,7,2/17/2026
Fshij,To erase,Verb,Mastered,7,2/17/2026
Këndoj,To sing,Verb,Mastered,7,2/17/2026
Takoj,To meet,Verb,Mastered,7,2/17/2026
Fle,To sleep,Verb,Mastered,7,2/17/2026
Jam,To be,Verb,Mastered,7,2/17/2026
Kam,To have,Verb,Mastered,7,2/17/2026
Pi,To drink,Verb,Mastered,7,2/17/2026
Ha,To eat,Verb,Mastered,7,2/17/2026
Eci,To walk,Verb,Mastered,7,2/17/2026
Vrapoj,To run,Verb,Mastered,7,2/17/2026
Pres,To wait,Verb,Almost There,10,2/17/2026
Di,To know,Verb,Almost There,10,2/17/2026
Mendoj,To think,Verb,Almost There,10,2/17/2026
Bëhem,To become,Verb,Almost There,10,2/17/2026
Mësoj,To learn / To teach,Verb,Almost There,10,2/17/2026
Bisedoj,"To talk, chat, or converse",Verb,Almost There,8,2/23/2026
udhëtoj,to travel,Verb,Almost There,8,2/17/2026
Ndihmoj,To help,Verb,Almost There,8,2/17/2026
përpiqem,to try (to make an effort),Verb,Almost There,8,2/17/2026
Punoj,To work,Verb,Almost There,8,2/17/2026
Filloj,To start,Verb,Almost There,8,2/17/2026
Realizoj,To realize,Verb,Almost There,7,2/19/2026
Pushoj,To rest / To stop,Verb,Almost There,7,2/17/2026
Vazhdoj,To continue,Verb,Almost There,7,2/17/2026
Zgjohem,To wake up,Verb,Almost There,7,2/17/2026
Shkruaj,To write,Verb,Almost There,7,2/17/2026
Bëhem gati,To get ready,Verb,Almost There,7,2/17/2026
Kthehem,To return,Verb,Almost There,7,2/17/2026
Lexoj,To read,Verb,Almost There,7,2/17/2026
Hap,To open,Verb,Almost There,7,2/17/2026
Gërmëzoj,To spell,Verb,Almost There,7,2/17/2026
Ngrihem,To stand up,Verb,Almost There,7,2/17/2026
Shiko TV,Look at the TV,Verb,Almost There,5,2/17/2026
Zbres poshtë,Go downstairs,Verb,Almost There,4,2/17/2026
Zgjat,To last,Verb,New,6,3/13/2026
Ndërtoj,To build,Verb,New,7,3/13/2026
Humb,To lose / Lost,Verb,New,6,3/13/2026
Sjell,To bring,Verb,New,9,3/13/2026
gabohem,to be wrong,Verb,New,7,3/13/2026
së shpejti,soon,Adverb,New,7,3/16/2026
i/e uritur,hungry,Adjective,New,9,3/16/2026
vendos,to decide / to place,Verb,New,8,3/16/2026
prioritet,priority,Noun (M),New,8,3/16/2026
prandaj,therefore,Adverb,New,6,3/16/2026
fillimisht,initially,Adverb,New,6,3/16/2026
ju uroj mirëseardhjen,I welcome you,Phrase,New,8,3/16/2026
kam vënë re,I have noticed,Phrase,New,8,3/16/2026
periudhë,period,Noun (F),New,5,3/16/2026
mbjell,plant,Verb,New,7,3/16/2026
ide,idea,Noun (F),New,8,3/16/2026
plehrat,trash / garbage,Noun (F),New,7,3/16/2026
aplikoj,apply,Verb,New,8,3/16/2026
kosha,bins,Noun (M),New,7,3/16/2026
shënoj,to mark,Verb,New,6,3/16/2026
njëri-tjetri,each other,Phrase,New,8,3/16/2026
dëshirë,desire,Noun (F),New,7,3/16/2026
gjej,to find,Verb,New,9,3/16/2026
zbuloj,to discover,Verb,New,8,3/16/2026
